"f_9","Points:0","Points:1","Points:2"
300.14,0.46875,0.6875,0
300.14,0.5,0.6875,0
300.14,0.53125,0.6875,0
300.13,0.5625,0.6875,0
300.13,0.59375,0.6875,0
300.13,0.625,0.6875,0
300.13,0.65625,0.6875,0
300.13,0.6875,0.6875,0
300.12,0.71875,0.6875,0
300.12,0.75,0.6875,0
300.12,0.78125,0.6875,0
300.12,0.8125,0.6875,0
300.12,0.84375,0.6875,0
300.12,0.875,0.6875,0
300.12,0.90625,0.6875,0
300.12,0.9375,0.6875,0
300.12,0.96875,0.6875,0
300.12,1,0.6875,0
300.18,0,0.71875,0
300.18,0.03125,0.71875,0
300.18,0.0625,0.71875,0
300.18,0.09375,0.71875,0
300.18,0.125,0.71875,0
300.17,0.15625,0.71875,0
300.17,0.1875,0.71875,0
300.17,0.21875,0.71875,0
300.16,0.25,0.71875,0
300.16,0.28125,0.71875,0
300.16,0.3125,0.71875,0
300.16,0.34375,0.71875,0
300.15,0.375,0.71875,0
300.15,0.40625,0.71875,0
300.15,0.4375,0.71875,0
300.14,0.46875,0.71875,0
300.14,0.5,0.71875,0
300.14,0.53125,0.71875,0
300.14,0.5625,0.71875,0
300.13,0.59375,0.71875,0
300.13,0.625,0.71875,0
300.13,0.65625,0.71875,0
300.13,0.6875,0.71875,0
300.13,0.71875,0.71875,0
300.13,0.75,0.71875,0
300.13,0.78125,0.71875,0
300.12,0.8125,0.71875,0
300.12,0.84375,0.71875,0
300.12,0.875,0.71875,0
300.12,0.90625,0.71875,0
300.12,0.9375,0.71875,0
300.12,0.96875,0.71875,0
300.12,1,0.71875,0
300.18,0,0.75,0
300.18,0.03125,0.75,0
300.18,0.0625,0.75,0
300.18,0.09375,0.75,0
300.18,0.125,0.75,0
300.18,0.15625,0.75,0
300.17,0.1875,0.75,0
300.17,0.21875,0.75,0
300.17,0.25,0.75,0
300.16,0.28125,0.75,0
300.16,0.3125,0.75,0
300.16,0.34375,0.75,0
300.16,0.375,0.75,0
300.15,0.40625,0.75,0
300.15,0.4375,0.75,0
300.15,0.46875,0.75,0
300.14,0.5,0.75,0
300.14,0.53125,0.75,0
300.14,0.5625,0.75,0
300.14,0.59375,0.75,0
300.14,0.625,0.75,0
300.13,0.65625,0.75,0
300.13,0.6875,0.75,0
300.13,0.71875,0.75,0
300.13,0.75,0.75,0
300.13,0.78125,0.75,0
300.13,0.8125,0.75,0
300.13,0.84375,0.75,0
300.13,0.875,0.75,0
300.12,0.90625,0.75,0
300.12,0.9375,0.75,0
300.12,0.96875,0.75,0
300.12,1,0.75,0
300.19,0,0.78125,0
300.19,0.03125,0.78125,0
300.18,0.0625,0.78125,0
300.18,0.09375,0.78125,0
300.18,0.125,0.78125,0
300.18,0.15625,0.78125,0
300.18,0.1875,0.78125,0
300.17,0.21875,0.78125,0
300.17,0.25,0.78125,0
300.17,0.28125,0.78125,0
300.16,0.3125,0.78125,0
300.16,0.34375,0.78125,0
300.16,0.375,0.78125,0
300.15,0.40625,0.78125,0
300.15,0.4375,0.78125,0
300.15,0.46875,0.78125,0
300.15,0.5,0.78125,0
300.14,0.53125,0.78125,0
300.14,0.5625,0.78125,0
300.14,0.59375,0.78125,0
300.14,0.625,0.78125,0
300.14,0.65625,0.78125,0
300.13,0.6875,0.78125,0
300.13,0.71875,0.78125,0
300.13,0.75,0.78125,0
300.13,0.78125,0.78125,0
300.13,0.8125,0.78125,0
300.13,0.84375,0.78125,0
300.13,0.875,0.78125,0
300.13,0.90625,0.78125,0
300.13,0.9375,0.78125,0
300.13,0.96875,0.78125,0
300.13,1,0.78125,0
300.19,0,0.8125,0
300.19,0.03125,0.8125,0
300.19,0.0625,0.8125,0
300.19,0.09375,0.8125,0
300.18,0.125,0.8125,0
300.18,0.15625,0.8125,0
300.18,0.1875,0.8125,0
300.18,0.21875,0.8125,0
300.17,0.25,0.8125,0
300.17,0.28125,0.8125,0
300.17,0.3125,0.8125,0
300.16,0.34375,0.8125,0
300.16,0.375,0.8125,0
300.16,0.40625,0.8125,0
300.15,0.4375,0.8125,0
300.15,0.46875,0.8125,0
300.15,0.5,0.8125,0
300.15,0.53125,0.8125,0
300.14,0.5625,0.8125,0
300.14,0.59375,0.8125,0
300.14,0.625,0.8125,0
300.14,0.65625,0.8125,0
300.14,0.6875,0.8125,0
300.13,0.71875,0.8125,0
300.13,0.75,0.8125,0
300.13,0.78125,0.8125,0
300.13,0.8125,0.8125,0
300.13,0.84375,0.8125,0
300.13,0.875,0.8125,0
300.13,0.90625,0.8125,0
300.13,0.9375,0.8125,0
300.13,0.96875,0.8125,0
300.13,1,0.8125,0
300.19,0,0.84375,0
300.19,0.03125,0.84375,0
300.19,0.0625,0.84375,0
300.19,0.09375,0.84375,0
300.19,0.125,0.84375,0
300.18,0.15625,0.84375,0
300.18,0.1875,0.84375,0
300.18,0.21875,0.84375,0
300.17,0.25,0.84375,0
300.17,0.28125,0.84375,0
300.17,0.3125,0.84375,0
300.16,0.34375,0.84375,0
300.16,0.375,0.84375,0
300.16,0.40625,0.84375,0
300.16,0.4375,0.84375,0
300.15,0.46875,0.84375,0
300.15,0.5,0.84375,0
300.15,0.53125,0.84375,0
300.15,0.5625,0.84375,0
